Symbol,Market Cap,Current PE Ratio (TTM),EV to EBITDA (TTM),Current Price to Book Value,Dividend Yield,Dividend Payout Ratio FY,Gross Profit Margin (TTM)(%),Net Profit Margin (TTM)(%),Return on Assets (TTM),Return on Equity (TTM),Asset Turnover (TTM),Inventory Turnover (TTM),Current Ratio (Quarter),Quick Ratio (Quarter),Debt to Equity Ratio (Quarter)
UNIC,"4,504.14 B",6.41,1.97,0.82,0.1414,1.0455,0.168,0.1035,0.1073,0.1278,1.07,4.08,6.79,5.03,0.01
MAYA,"4,317.70 B",77.28,12.25,0.23,-,0.9077,0.2483,0.0044,0.0003,0.0029,0.08,-,-,-,-
RDTX,"4,267.20 B",11.52,8.17,1.28,0.0301,0.1531,0.6554,0.6477,0.0994,0.1112,0.15,68.61,4.82,4.8,-
SMRA,"4,259.21 B",5.93,6.46,0.36,0.0349,0.1082,0.5014,0.0807,0.0181,0.0606,0.23,0.39,1.11,0.36,1.21
SMDR,"4,257.66 B",5.5,2.18,0.45,0.0442,0.0425,0.1759,0.058,0.0311,0.0822,0.55,133.19,2.19,2.17,0.51
META,"4,215.15 B",44.65,71.54,1.06,0.011,0.4961,0.5439,0.3323,0.0206,0.0237,0.06,11.23,3.1,3,0.1
BULL,"4,214.49 B",7.76,7.27,1.15,-,-,0.318,0.218,0.0783,0.1486,0.38,26.97,0.6,0.56,0.59
DRMA,"4,211.76 B",6.43,3.54,1.44,0.0782,0.5048,0.1783,0.1087,0.1463,0.2242,1.38,9.17,1.93,1.45,0.09
LPKR,"4,182.98 B",10.27,12.64,0.14,-,0.3117,0.3462,0.0474,0.0084,0.0137,0.18,0.22,3.9,0.45,0.36
TGKA,"4,169.96 B",10.02,6.64,1.71,0.0694,0.7078,0.0911,0.031,0.0813,0.1706,2.51,9.11,1.98,1.36,0.04
PALM,"4,122.01 B",0.74,-257.44,0.5,-,0.3393,-,-,0.4845,0.677,-,-,0.14,0.14,0.79
JTPE,"4,076.97 B",12.45,5.6,2.94,0.0521,0.691,0.2513,0.1214,0.1244,0.2361,1,4.54,1.67,1.17,0.01
SINI,"4,076.47 B",-139.04,283.34,-5.36,-,-,0.1875,-0.0413,-0.0178,0.0385,0.44,4.1,0.41,0.34,-1.25
SGRO,"4,073.71 B",22.62,3.73,0.79,0.1473,0.8017,0.2887,0.0297,0.0207,0.035,0.65,6.6,1.23,0.98,0.32
ELSA,"4,050.67 B",5.62,0.86,0.74,0.0705,0.4,0.0987,0.0501,0.0655,0.1311,1.31,24.54,1.49,1.37,0.13
SURE,"4,043.46 B",-207.63,43.2,-12.78,-,-,0.2933,-0.0326,-0.0119,0.0615,0.37,200.51,2.94,2.94,-0.09
ANJT,"4,008.24 B",-4.11,3.19,1.06,-,0.2886,0.3529,-0.2502,-0.1843,-0.2581,0.51,5.75,1.21,0.92,0.26
MBSS,"4,007.56 B",15.83,13.31,1.01,-,0.8385,0.2573,0.3242,0.0585,0.0641,0.18,40.31,7.97,7.91,0.05
MTLA,"3,827.56 B",9.57,7.83,0.69,0.0194,0.1835,0.5102,0.225,0.0488,0.0721,0.22,0.26,3.26,0.74,0.22
SHIP,"3,794.11 B",11.74,6.24,1.45,0.0251,0.3212,0.2672,0.1036,0.0341,0.1236,0.34,-,1.46,1.46,1.84
SGER,"3,740.86 B",17.71,14.82,1.61,0.0375,0.213,0.0812,0.0311,0.0343,0.0906,1.15,-,1.66,1.66,0.91
